city,total_customers,total_revenue,avg_spending
ribeirao preto,479,82244.91,171.70127348643007
ribeirao vermelho,2,352.53000000000003,176.26500000000001
ribeiraozinho,2,358.01,179.005
ribeiro junqueira,1,200.32999999999998,200.32999999999998
ribeiropolis,1,100.77000000000001,100.77000000000001
rifaina,2,597.77,298.885
rincao,1,97.63,97.63
rinopolis,2,134.56,67.28
rio acima,8,709.23,88.65375
rio azul,5,538.54,107.708
rio bananal,4,332.32,83.08
rio bonito,26,5055.4400000000005,194.44000000000003
rio bonito do iguacu,4,536.22,134.055
rio branco,68,18809.920000000002,276.6164705882353
rio branco do sul,6,526.72,87.78666666666668
rio brilhante,11,1195.1599999999999,108.65090909090908
rio casca,5,433.47,86.694
rio claro,149,24561.21,164.8403355704698
rio das antas,2,213.78,106.89
rio das flores,6,665.69,110.94833333333334
rio das ostras,128,22778.55,177.957421875
rio das pedras,10,1205.56,120.556
rio de contas,3,290.72,96.90666666666668
rio de janeiro,6361,1196035.02,188.0262568778494
rio do antonio,2,301.75,150.875
rio do campo,4,822.25,205.5625
rio do oeste,3,433.84000000000003,144.61333333333334
rio do pires,3,1229.77,409.92333333333335
rio do sul,33,6056.56,183.5321212121212
rio doce,1,96.2,96.2
rio dos cedros,1,67.82,67.82
rio dos indios,1,102.75,102.75
rio espera,1,176.45000000000002,176.45000000000002
rio formoso,2,268.93,134.465
rio fortuna,3,527.47,175.82333333333335
rio grande,118,19567.2,165.82372881355934
rio grande da serra,23,3420.38,148.71217391304347
rio grande do piaui,1,45.7,45.7
rio largo,6,693.04,115.50666666666666
rio manso,5,939.6800000000001,187.936
rio maria,1,1306.71,1306.71
rio negrinho,13,1381.73,106.28692307692307
rio negro,15,2465.87,164.39133333333334
rio novo,4,613.25,153.3125
rio novo do sul,6,651.89,108.64833333333333
rio paranaiba,9,881.48,97.94222222222223
rio pardo,5,791.45,158.29000000000002
rio pardo de minas,5,708.49,141.698
rio piracicaba,4,580.14,145.035
rio pomba,6,1464.8600000000001,244.14333333333335
rio preto,4,233.2,58.3
rio real,3,480.6,160.20000000000002
rio rufino,1,76.66,76.66
rio tinto,2,490.25,245.125
rio verde,64,11943.49,186.61703125
riolandia,3,470.31,156.77
riqueza,3,302.68,100.89333333333333
ritapolis,3,212.32999999999998,70.77666666666666
riversul,1,102.03,102.03
roca sales,2,237.16000000000003,118.58000000000001
rodeio,7,985.9499999999999,140.85
rodeio bonito,2,264.44,132.22
rodeiro,2,869.7499999999999,434.87499999999994
rodelas,3,464.75,154.91666666666666
rodolfo fernandes,2,168.19,84.095
rolandia,24,5701.33,237.55541666666667
rolante,9,1078.45,119.82777777777778
rolim de moura,7,748.15,106.87857142857142
romaria,2,310.46,155.23
romelandia,1,176.87,176.87
roncador,2,191.73000000000002,95.86500000000001
ronda alta,6,1914.31,319.0516666666667
rondon,2,318.86,159.43
rondon do para,9,3484.39,387.15444444444444
rondonopolis,59,13672.69,231.74050847457627
roque gonzales,4,909.71,227.4275
rosana,4,295.31,73.8275
rosario,1,79.04,79.04
rosario do ivai,1,47.230000000000004,47.230000000000004
rosario do sul,12,1597.88,133.15666666666667
roseira,5,490.14000000000004,98.028
rubelita,1,80.88,80.88
rubiacea,2,250.15,125.075
rubiataba,7,1210.69,172.9557142857143
rubim,3,289.48,96.49333333333334
rubineia,1,112.2,112.2
russas,9,4622.34,513.5933333333334
ruy barbosa,7,921.15,131.59285714285713
sabara,40,5764.16,144.10399999999998
sabaudia,1,20.42,20.42
sabino,3,802.87,267.62333333333333
sabinopolis,5,412.4,82.47999999999999
saboeiro,1,201.83,201.83
sacra familia do tingua,1,149.04,149.04
sacramento,12,2629.11,219.0925
sales,5,433.12,86.624
sales oliveira,6,627.74,104.62333333333333
salesopolis,10,1310.96,131.096
salgado filho,3,219.94,73.31333333333333
salgueiro,16,3233.37,202.085625
salinas,22,5787.96,263.0890909090909
salinas da margarida,1,82.12,82.12
salmourao,2,90.27,45.135
saloa,3,1536.08,512.0266666666666
salobro,1,89.15,89.15
saltinho,4,1397.7199999999998,349.42999999999995
salto,88,11998.4,136.34545454545454
salto da divisa,2,151.66000000000003,75.83000000000001
salto de pirapora,12,1153.56,96.13
salto do ceu,2,175.61,87.805
salto do itarare,1,276.46999999999997,276.46999999999997
salto do jacui,4,301.94,75.485
salto do lontra,4,900.1100000000001,225.02750000000003
salto grande,1,674.34,674.34
salto veloso,4,497.07,124.2675
salvador,1154,217748.37,188.69009532062393
salvador do sul,1,206.99,206.99
sambaiba,1,215.47,215.47
sananduva,6,585.57,97.59500000000001
sanclerlandia,3,842.84,280.94666666666666
sandolandia,1,841.28,841.28
sanga puita,1,53.69,53.69
sangao,3,316.25,105.41666666666667
sanharo,3,2310.0,770.0
santa adelia,15,1861.06,124.07066666666667
santa albertina,7,830.4200000000001,118.63142857142859
santa amelia,1,175.87,175.87
santa barbara,22,7248.13,329.4604545454545
santa barbara d oeste,4,214.76,53.69
santa barbara d'oeste,117,16524.89,141.23837606837606
santa barbara do para,1,245.45,245.45
santa barbara do sul,2,180.09,90.045
santa branca,9,953.35,105.92777777777778
santa brigida,1,104.73,104.73
santa cecilia,5,746.21,149.24200000000002
santa cecilia do pavao,1,72.14,72.14
santa clara d'oeste,1,115.44,115.44
santa clara do sul,2,394.12,197.06
santa cruz,6,1097.16,182.86
