city,total_customers,total_revenue,avg_spending
sao jose do cedro,4,696.3900000000001,174.09750000000003
sao jose do cerrito,3,333.34000000000003,111.11333333333334
sao jose do divino,2,826.1700000000001,413.08500000000004
sao jose do egito,4,630.2,157.55
sao jose do goiabal,2,247.67,123.835
sao jose do hortencio,2,373.23,186.615
sao jose do inhacora,1,102.69999999999999,102.69999999999999
sao jose do norte,7,701.78,100.25428571428571
sao jose do ouro,5,507.09,101.41799999999999
sao jose do piaui,1,173.88,173.88
sao jose do ribeirao,1,115.84,115.84
sao jose do rio claro,2,351.04999999999995,175.52499999999998
sao jose do rio pardo,42,6666.09,158.71642857142857
sao jose do rio preto,324,57722.409999999996,178.15558641975306
sao jose do serido,1,203.31,203.31
sao jose do turvo,3,285.36,95.12
sao jose do vale do rio preto,12,1527.66,127.305
sao jose do xingu,1,72.52,72.52
sao jose dos campos,644,92724.51,143.98215838509316
sao jose dos cordeiros,1,258.03,258.03
sao jose dos pinhais,125,19102.04,152.81632000000002
sao jose dos quatro marcos,2,312.23,156.115
sao leopoldo,100,14460.47,144.60469999999998
sao lourenco,30,5193.51,173.11700000000002
sao lourenco da mata,11,1584.4099999999999,144.03727272727272
sao lourenco da serra,12,1357.03,113.08583333333333
sao lourenco do oeste,9,997.13,110.79222222222222
sao lourenco do piaui,1,191.11,191.11
sao lourenco do sul,14,2453.15,175.225
sao ludgero,3,746.51,248.83666666666667
sao luis,326,67234.4,206.240490797546
sao luis de montes belos,7,1412.96,201.85142857142858
sao luis do curu,2,397.75,198.875
sao luis do paraitinga,3,945.99,315.33
sao luis do quitunde,2,351.55,175.775
sao luiz do norte,1,148.33,148.33
sao luiz gonzaga,15,4008.7200000000003,267.248
sao mamede,1,137.1,137.1
sao manuel,19,3563.79,187.5678947368421
sao marcos,9,994.76,110.52888888888889
sao martinho,3,938.3100000000001,312.77000000000004
sao mateus,43,9377.550000000001,218.0825581395349
sao mateus de minas,1,82.88,82.88
sao mateus do maranhao,3,930.7,310.23333333333335
sao mateus do sul,15,2284.52,152.30133333333333
sao miguel,3,1772.14,590.7133333333334
sao miguel arcanjo,12,1697.48,141.45666666666668
sao miguel das matas,1,221.0,221.0
sao miguel do aleixo,1,70.86,70.86
sao miguel do anta,1,254.08999999999997,254.08999999999997
sao miguel do araguaia,5,1518.03,303.606
sao miguel do cambui,1,77.57,77.57
sao miguel do gostoso,2,473.04,236.52
sao miguel do guama,5,1514.4,302.88
sao miguel do guapore,3,1004.74,334.91333333333336
sao miguel do iguacu,9,1244.14,138.23777777777778
sao miguel do oeste,39,7165.3,183.72564102564104
sao miguel do tapuio,2,524.54,262.27
sao miguel dos campos,2,1054.11,527.055
sao nicolau,1,138.6,138.6
sao patricio,1,172.95999999999998,172.95999999999998
sao paulo,14528,2270712.83,156.29906594162995
sao paulo das missoes,2,459.26000000000005,229.63000000000002
sao paulo do potengi,2,319.78,159.89
sao pedro,12,3903.33,325.2775
sao pedro da agua branca,1,336.56,336.56
sao pedro da aldeia,44,6272.09,142.5475
sao pedro da uniao,3,451.64,150.54666666666665
sao pedro de alcantara,2,312.90999999999997,156.45499999999998
sao pedro do butia,1,116.19,116.19
sao pedro do iguacu,1,142.96,142.96
sao pedro do ivai,3,546.72,182.24
sao pedro do sul,1,121.97,121.97
sao pedro do turvo,2,117.9,58.95
sao pedro dos ferros,3,1294.36,431.4533333333333
sao rafael,1,62.28,62.28
sao raimundo nonato,7,2987.04,426.71999999999997
sao romao,5,524.06,104.81199999999998
sao roque,73,11397.95,156.13630136986302
sao roque de minas,2,210.54000000000002,105.27000000000001
sao roque do canaa,5,436.01,87.202
sao sebastiao,56,11311.63,201.99339285714285
sao sebastiao da amoreira,1,63.230000000000004,63.230000000000004
sao sebastiao da boa vista,2,264.6,132.3
sao sebastiao da grama,4,1102.02,275.505
sao sebastiao da serra,1,171.35,171.35
sao sebastiao de campos,1,38.9,38.9
sao sebastiao do alto,4,616.7,154.175
sao sebastiao do cai,11,2107.02,191.5472727272727
sao sebastiao do maranhao,3,255.20999999999998,85.07
sao sebastiao do paraiba,1,571.16,571.16
sao sebastiao do paraiso,34,5746.29,169.0085294117647
sao sebastiao do passe,5,550.53,110.106
sao sebastiao do rio verde,1,332.58,332.58
sao sepe,6,695.71,115.95166666666667
sao simao,12,1853.1599999999999,154.42999999999998
sao thome das letras,2,85.5,42.75
sao tiago,5,586.45,117.29
sao tomas de aquino,3,382.56,127.52
sao tome,3,350.39,116.79666666666667
sao valentim,3,609.47,203.15666666666667
sao vendelino,2,194.28,97.14
sao vicente,157,22391.79,142.6228662420382
sao vicente ferrer,2,528.65,264.325
sao vitor,1,121.09,121.09
sape,2,2042.83,1021.415
sapeacu,2,303.47,151.735
sapezal,8,1139.52,142.44
sapiranga,23,4014.95,174.56304347826085
sapopema,2,193.31,96.655
sapucai-mirim,4,647.16,161.79
sapucaia,5,777.07,155.41400000000002
sapucaia do sul,39,6392.7,163.91538461538462
saquarema,38,7195.41,189.3528947368421
sarandi,22,2296.15,104.37045454545455
sarapui,2,280.89,140.445
sardoa,1,137.99,137.99
sarutaia,1,71.82,71.82
sarzedo,18,1316.33,73.12944444444445
satiro dias,1,41.29,41.29
satuba,2,438.32,219.16
satubinha,2,229.96999999999997,114.98499999999999
saubara,1,228.60000000000002,228.60000000000002
saudade do iguacu,4,328.37,82.0925
saudades,4,428.95000000000005,107.23750000000001
saude,2,169.98000000000002,84.99000000000001
schroeder,9,1349.22,149.91333333333333
seabra,6,1148.26,191.37666666666667
seara,5,694.82,138.964
sebastiao leal,1,75.89,75.89
seberi,2,169.67000000000002,84.83500000000001
sede alvorada,1,154.9,154.9
segredo,1,60.14,60.14
selbach,1,68.13,68.13
senador amaral,1,456.0,456.0
senador canedo,16,1790.29,111.893125
senador cortes,1,400.65999999999997,400.65999999999997
senador firmino,2,180.44,90.22
senador guiomard,2,547.09,273.545
senador jose porfirio,1,31.63,31.63
senador la rocque,1,124.43,124.43
senador modestino goncalves,2,153.17000000000002,76.58500000000001
senador pompeu,4,718.11,179.5275
senador salgado filho,1,102.49,102.49
senges,5,645.5,129.1
senhor do bonfim,17,3357.26,197.4858823529412
senhora de oliveira,2,169.94,84.97
senhora dos remedios,1,44.51,44.51
sento se,1,76.08,76.08
serafina correa,9,1042.38,115.82000000000001
sericita,2,253.62,126.81
seringueiras,2,504.64,252.32
serio,1,39.69,39.69
seropedica,32,5505.07,172.0334375
serra,272,44095.89,162.11724264705882
serra azul,1,108.52000000000001,108.52000000000001
serra azul de minas,2,388.01,194.005
serra bonita,1,232.82,232.82
serra branca,1,142.26,142.26
serra de sao bento,2,328.15,164.075
serra do ramalho,4,406.72,101.68
serra do salitre,1,72.05,72.05
serra dos aimores,5,443.08000000000004,88.61600000000001
serra dos dourados,1,83.33,83.33
serra dourada,2,234.2,117.1
serra negra,13,3522.56,270.9661538461538
serra talhada,10,2625.95,262.59499999999997
serrana,13,1115.27,85.78999999999999
serrania,2,382.17,191.085
serranopolis,3,1210.27,403.42333333333335
serranopolis de minas,1,136.5,136.5
serranopolis do iguacu,2,305.73,152.865
serrinha,13,2769.7200000000003,213.05538461538464
serrita,2,483.72,241.86
serro,2,876.62,438.31
serrolandia,2,363.65999999999997,181.82999999999998
sertania,4,479.91999999999996,119.97999999999999
sertanopolis,4,1008.14,252.035
sertao,3,410.35,136.78333333333333
sertao santana,1,39.129999999999995,39.129999999999995
sertaozinho,60,7997.79,133.2965
sete barras,4,302.52,75.63
sete de setembro,1,75.72999999999999,75.72999999999999
sete lagoas,121,21492.16,177.62115702479338
setubinha,3,328.77,109.58999999999999
severiano melo,1,190.82999999999998,190.82999999999998
severinia,5,556.45,111.29
sideropolis,4,371.11,92.7775
sidrolandia,9,2994.41,332.7122222222222
silva jardim,4,691.27,172.8175
silvania,7,1373.15,196.16428571428574
silvano,1,117.94,117.94
silvanopolis,1,273.88,273.88
silveira carvalho,1,42.269999999999996,42.269999999999996
silveira martins,1,155.14,155.14
silveiras,3,474.25,158.08333333333334
silvianopolis,2,338.12,169.06
simao dias,7,1082.91,154.70142857142858
simao pereira,1,175.41,175.41
simoes filho,21,5295.9,252.18571428571425
simolandia,2,169.73,84.865
simonesia,7,1736.06,248.00857142857143
simplicio mendes,1,50.75,50.75
sinimbu,2,112.11000000000001,56.05500000000001
sinop,41,8022.77,195.67731707317074
siqueira campos,9,1663.6200000000001,184.8466666666667
siriji,1,77.03,77.03
sirinhaem,5,720.23,144.046
sitio do quinto,2,131.65,65.825
sitio novo,2,229.28000000000003,114.64000000000001
sitio novo do tocantins,1,952.54,952.54
sobradinho,9,1302.79,144.75444444444443
sobral,33,12440.17,376.9748484848485
sobralia,1,40.0,40.0
socorro,18,2739.8,152.2111111111111
solanea,1,519.29,519.29
soledade,8,1240.41,155.05125
soledade de minas,5,394.78,78.95599999999999
solonopole,2,785.74,392.87
sombrio,9,1728.7900000000002,192.0877777777778
sonora,2,91.38,45.69
sooretama,5,456.35,91.27000000000001
sorocaba,588,92196.72,156.79714285714286
sorriso,20,4009.03,200.4515
sousa,7,1356.43,193.7757142857143
sucesso,3,485.92,161.97333333333333
sucupira do norte,2,404.20000000000005,202.10000000000002
sud mennucci,5,448.01,89.602
sulina,1,45.0,45.0
sumare,172,25025.86,145.49918604651162
sume,3,364.39,121.46333333333332
sumidouro,9,1763.3799999999999,195.9311111111111
surubim,5,711.22,142.244
suzanapolis,1,88.94,88.94
suzano,218,31252.45,143.3598623853211
tabapora,2,286.07000000000005,143.03500000000003
tabapua,12,1535.21,127.93416666666667
tabatinga,5,487.11,97.422
tabira,5,1336.1,267.21999999999997
taboao da serra,274,41493.28,151.43532846715328
tabocas do brejo velho,3,199.95999999999998,66.65333333333332
taboquinhas,1,303.27,303.27
tabuleiro,2,382.78000000000003,191.39000000000001
tabuleiro do norte,1,71.88,71.88
tacaratu,2,263.65000000000003,131.82500000000002
taciba,2,419.6,209.8
tacuru,1,170.71,170.71
taguai,10,873.56,87.356
taguatinga,6,1284.73,214.12166666666667
taiacu,1,70.51,70.51
tailandia,4,2256.4600000000005,564.1150000000001
taio,13,5008.44,385.26461538461535
taiobeiras,13,3103.8,238.75384615384615
taiuva,5,1010.13,202.026
tamandare,1,73.84,73.84
tamarana,2,160.84,80.42
tambau,18,2118.87,117.71499999999999
tamboara,1,24.09,24.09
tanabi,11,1658.14,150.74
tangara,1,373.82,373.82
tangara da serra,23,4765.88,207.21217391304347
tangua,6,636.04,106.00666666666666
tanhacu,4,609.8,152.45
tanque d'arca,1,1223.08,1223.08
tanque novo,3,447.39,149.13
taparuba,1,104.37,104.37
tapejara,11,1757.73,159.79363636363635
tapera,1,79.07,79.07
taperuaba,1,82.42,82.42
tapes,6,934.26,155.71
tapinas,1,135.07999999999998,135.07999999999998
tapirai,2,140.53000000000003,70.26500000000001
tapiramuta,2,1476.8999999999999,738.4499999999999
tapiratiba,11,3716.3900000000003,337.8536363636364
tapurah,1,145.11,145.11
taquara,21,4954.91,235.94809523809522
taquaracu de minas,2,392.66,196.33
taquarana,1,190.43,190.43
taquari,11,1870.86,170.0781818181818
taquaritinga,33,5237.07,158.6990909090909
taquaritinga do norte,5,2974.34,594.868
taquarituba,15,2799.35,186.62333333333333
taquarivai,3,738.9000000000001,246.30000000000004
taquarucu do sul,1,93.28999999999999,93.28999999999999
tarabai,5,1174.4,234.88000000000002
taruma,9,1189.95,132.21666666666667
tarumirim,4,912.25,228.0625
tatui,71,12921.49,181.99281690140845
taua,10,1251.3700000000001,125.13700000000001
taubate,257,34693.27,134.99326848249027
tavares,1,273.62,273.62
tecainda,1,165.13,165.13
teixeira,1,69.05,69.05
teixeira de freitas,27,4402.7,163.06296296296296
teixeira soares,1,657.9200000000001,657.9200000000001
teixeiras,6,607.65,101.27499999999999
tejupa,2,443.21999999999997,221.60999999999999
telemaco borba,32,5687.66,177.739375
telha,1,229.65,229.65
tenente ananias,1,273.92,273.92
tenente portela,3,604.0500000000001,201.35000000000002
teodoro sampaio,13,1561.19,120.09153846153846
teofilandia,3,236.92000000000002,78.97333333333334
teofilo otoni,73,11007.35,150.78561643835616
teolandia,4,260.77,65.1925
teotonio vilela,7,2331.9,333.12857142857143
terenos,1,85.26,85.26
teresina,261,63902.45,244.83697318007663
teresina de goias,1,96.8,96.8
teresopolis,114,22261.89,195.27973684210525
terezinha,1,65.62,65.62
termas de ibira,1,87.15,87.15
terra boa,4,773.42,193.355
terra de areia,5,1250.93,250.186
terra nova,1,267.93,267.93
terra nova do norte,3,499.35,166.45000000000002
terra rica,7,769.63,109.94714285714285
terra roxa,5,822.51,164.502
teutonia,12,2144.17,178.68083333333334
tiangua,9,2732.68,303.63111111111107
tibagi,4,386.07,96.5175
tibau do sul,1,144.79,144.79
tiete,35,4792.73,136.93514285714284
tijucas,27,4963.05,183.81666666666666
timbauba,7,804.4499999999999,114.92142857142856
timbe do sul,3,262.92,87.64
timbo,17,9045.210000000001,532.0711764705883
timburi,3,390.86,130.28666666666666
timon,11,1415.47,128.67909090909092
timoteo,49,9705.17,198.064693877551
tiradentes,4,653.58,163.395
tiradentes do sul,1,67.7,67.7
tiros,3,218.66,72.88666666666667
tobias barreto,2,264.52,132.26
tocantinopolis,7,947.28,135.32571428571427
tocantins,6,778.4899999999999,129.7483333333333
tocos,2,381.47,190.735
tocos do moji,1,74.36,74.36
toledo,69,11906.66,172.56028985507245
tomar do geru,2,333.47,166.735
tomazina,3,411.31,137.10333333333332
tombos,4,420.1,105.025
tome-acu,1,50.62,50.62
toritama,5,1277.99,255.598
toropi,3,1682.98,560.9933333333333
torres,16,2072.94,129.55875
torrinha,5,784.05,156.81
trabiju,1,279.91,279.91
tracuateua,1,39.61,39.61
tracunhaem,1,689.87,689.87
traipu,1,63.790000000000006,63.790000000000006
trairi,2,543.53,271.765
trajano de moraes,8,913.0400000000001,114.13000000000001
tramandai,25,3289.92,131.5968
trancoso,6,995.19,165.865
travessao,4,510.43,127.6075
travesseiro,1,32.71,32.71
tremembe,36,6056.78,168.24388888888888
tres arroios,3,236.8,78.93333333333334
tres barras,5,380.56,76.112
tres cachoeiras,6,1109.39,184.89833333333334
tres coracoes,40,5729.9400000000005,143.2485
tres coroas,6,910.48,151.74666666666667
tres de maio,12,2334.85,194.57083333333333
tres forquilhas,1,98.13,98.13
tres fronteiras,5,425.25,85.05
tres irmaos,1,171.20000000000002,171.20000000000002
tres lagoas,41,8640.03,210.73243902439026
tres marias,12,1179.76,98.31333333333333
tres passos,11,1503.72,136.7018181818182
tres pontas,19,2587.9900000000002,136.21
tres rios,36,8744.18,242.8938888888889
treviso,1,136.98000000000002,136.98000000000002
treze tilias,11,1159.3600000000001,105.39636363636365
trindade,28,8413.61,300.48607142857145
trindade do sul,3,4587.88,1529.2933333333333
triunfo,13,2972.49,228.6530769230769
trombas,1,32.07,32.07
trombudo central,4,250.85999999999999,62.714999999999996
tubarao,55,13232.18,240.58509090909092
tucano,8,969.58,121.1975
tucuma,3,585.23,195.07666666666668
tucunduva,3,437.36,145.78666666666666
tucurui,16,5756.65,359.790625
tuiuti,1,60.85,60.85
tumiritinga,1,480.31,480.31
tunapolis,1,343.68,343.68
tunas do parana,2,233.3,116.65
tupa,52,7490.94,144.05653846153845
tupaciguara,13,1645.36,126.56615384615384
tupancireta,3,562.96,187.65333333333334
tupandi,3,361.03999999999996,120.34666666666665
tuparece,1,31.73,31.73
tuparendi,2,291.12,145.56
tuparetama,3,437.69000000000005,145.89666666666668
tupassi,1,32.379999999999995,32.379999999999995
tupi paulista,6,577.2,96.2
turmalina,9,1360.5700000000002,151.17444444444448
tururu,1,215.6,215.6
turvania,2,117.35,58.675
turvelandia,1,42.4,42.4
turvo,6,401.21,66.86833333333333
turvolandia,2,176.09,88.045
tutoia,2,556.87,278.435
uaua,3,473.03999999999996,157.67999999999998
uba,51,8564.26,167.92666666666668
ubai,1,61.730000000000004,61.730000000000004
ubaira,6,884.91,147.48499999999999
ubaitaba,4,667.9300000000001,166.98250000000002
ubajara,3,1414.6299999999999,471.5433333333333
ubaporanga,3,360.71000000000004,120.23666666666668
ubata,1,210.18,210.18
ubatuba,69,10225.74,148.1991304347826
uberaba,177,35993.62,203.35378531073448
uberlandia,360,58276.47,161.87908333333334
ubirajara,1,96.09,96.09
ubirata,7,751.43,107.34714285714286
uchoa,3,641.29,213.76333333333332
uibai,4,639.36,159.84
uirauna,1,285.36,285.36
ulianopolis,1,64.4,64.4
umbauba,3,315.39,105.13
umburanas,1,123.75,123.75
umburatiba,1,134.7,134.7
umuarama,39,6711.79,172.0971794871795
una,4,541.51,135.3775
unai,53,8178.72,154.3154716981132
uniao,1,393.32,393.32
uniao da serra,1,33.6,33.6
uniao da vitoria,27,7895.25,292.4166666666667
uniao de minas,3,128.71,42.903333333333336
uniao do oeste,1,40.089999999999996,40.089999999999996
uniao do sul,1,249.2,249.2
uniao dos palmares,1,309.25,309.25
unistalda,1,64.47,64.47
upanema,3,1476.25,492.0833333333333
urai,3,334.39,111.46333333333332
urandi,2,767.8100000000001,383.90500000000003
urania,3,1384.28,461.4266666666667
urbano santos,4,954.0699999999999,238.51749999999998
uruacu,16,2692.13,168.258125
uruana,3,1355.9499999999998,451.9833333333333
uruana de minas,1,33.0,33.0
uruara,6,1199.13,199.85500000000002
urubici,3,378.58,126.19333333333333
uruburetama,1,87.8,87.8
urucania,1,200.32999999999998,200.32999999999998
urucuca,2,257.27,128.635
urucui,4,820.26,205.065
urucuia,1,168.29000000000002,168.29000000000002
urucurituba,2,242.94,121.47
uruguaiana,47,5460.41,116.17893617021276
uruoca,2,295.57000000000005,147.78500000000003
urupa,3,403.21,134.40333333333334
urupes,10,1313.27,131.327
urussanga,10,1083.08,108.30799999999999
urutai,3,184.79,61.596666666666664
utinga,3,396.97,132.32333333333335
vacaria,20,2964.2599999999998,148.213
valao do barro,1,86.53999999999999,86.53999999999999
vale do sol,1,37.089999999999996,37.089999999999996
vale real,3,264.34000000000003,88.11333333333334
valenca,59,13595.6,230.43389830508474
valenca do piaui,4,1247.8700000000001,311.96750000000003
valente,6,4788.4,798.0666666666666
valentim gentil,3,418.87000000000006,139.62333333333336
valinhos,176,25970.06,147.5571590909091
valparaiso,8,658.49,82.31125
valparaiso de goias,36,6595.66,183.21277777777777
vanini,1,106.87,106.87
vargeao,1,520.65,520.65
vargem,2,101.5,50.75
vargem alegre,1,94.71,94.71
vargem alta,5,372.35,74.47
vargem bonita,5,826.27,165.254
vargem grande,1,137.01,137.01
vargem grande do rio pardo,1,365.98,365.98
vargem grande do soturno,1,111.02000000000001,111.02000000000001
vargem grande do sul,12,990.68,82.55666666666666
vargem grande paulista,42,5568.08,132.57333333333332
varginha,83,17280.86,208.20313253012048
varjao de minas,2,131.89999999999998,65.94999999999999
varjota,4,901.1800000000001,225.29500000000002
varre-sai,4,1035.37,258.8425
varzea,1,150.18,150.18
varzea alegre,2,198.65,99.325
varzea da palma,11,2440.97,221.9063636363636
varzea do poco,1,73.83,73.83
varzea grande,37,8025.18,216.89675675675676
varzea nova,1,108.53,108.53
varzea paulista,70,13755.1,196.5014285714286
varzedo,1,65.53,65.53
varzelandia,2,131.44,65.72
vassouras,34,5805.34,170.74529411764706
vazante,5,2878.63,575.726
venancio aires,24,3738.65,155.77708333333334
venda branca,1,134.82999999999998,134.82999999999998
venda nova do imigrante,15,3171.2200000000003,211.41466666666668
ventania,3,209.88,69.96
venturosa,2,1297.06,648.53
vera,3,336.24,112.08
vera cruz,20,3742.7799999999997,187.13899999999998
vera cruz do oeste,3,488.34000000000003,162.78
veranopolis,18,2878.08,159.89333333333332
vere,3,818.22,272.74
vereda,2,356.65,178.325
verissimo,3,353.01,117.67
vermelho,1,116.78999999999999,116.78999999999999
vermelho novo,1,52.099999999999994,52.099999999999994
vertentes,1,49.62,49.62
vespasiano,40,7156.09,178.90225
vespasiano correa,1,163.25,163.25
viamao,68,8341.78,122.67323529411766
viana,26,4856.38,186.78384615384616
vianopolis,3,616.76,205.58666666666667
vicencia,2,325.48,162.74
vicente dutra,1,31.22,31.22
vicentina,1,216.07,216.07
vicentinopolis,2,420.54999999999995,210.27499999999998
vicosa,87,18800.3,216.09540229885056
vicosa do ceara,1,43.79,43.79
victor graeff,2,181.25,90.625
videira,44,9246.03,210.13704545454547
vieiras,1,345.15,345.15
vigia,2,236.75,118.375
vila bela da santissima trindade,1,46.78,46.78
vila dos cabanos,4,597.67,149.4175
vila flor,1,137.98000000000002,137.98000000000002
vila flores,3,462.5,154.16666666666666
vila langaro,3,191.91,63.97
vila muriqui,7,856.45,122.35000000000001
vila nelita,2,167.98000000000002,83.99000000000001
vila nova,2,117.19,58.595
vila nova do sul,1,101.34,101.34
vila pereira,1,109.21,109.21
vila reis,1,86.15,86.15
vila rica,3,335.36,111.78666666666668
vila valerio,7,1805.81,257.97285714285715
vila velha,317,56565.86,178.44119873817036
vilhena,16,2791.92,174.495
vinhedo,89,10582.07,118.89966292134831
viradouro,18,2480.9500000000003,137.83055555555558
virgem da lapa,3,864.44,288.1466666666667
virginia,1,54.129999999999995,54.129999999999995
virginopolis,6,871.8199999999999,145.3033333333333
virgolandia,2,413.44,206.72
visconde de maua,2,329.29,164.645
visconde do rio branco,17,2336.68,137.45176470588234
viseu,1,340.02,340.02
vista alegre,1,37.1,37.1
vista alegre do alto,3,327.66999999999996,109.22333333333331
vitoria,361,67390.31999999999,186.6767867036011
vitoria da conquista,87,19377.29,222.72747126436784
vitoria das missoes,1,64.0,64.0
vitoria de santo antao,15,2988.47,199.2313333333333
vitoria do jari,1,137.27,137.27
vitoria do mearim,1,64.85,64.85
vitorino,1,67.23,67.23
vitorino freire,3,1744.37,581.4566666666666
vitorinos,1,105.36999999999999,105.36999999999999
volta grande,4,379.96000000000004,94.99000000000001
volta redonda,221,39828.02,180.2172850678733
votorantim,83,12281.84,147.97397590361447
votuporanga,61,10352.45,169.71229508196723
wagner,1,147.69,147.69
wanderley,2,333.11,166.555
wenceslau braz,2,250.51,125.255
wenceslau guimaraes,1,137.5,137.5
werneck,2,445.61,222.805
witmarsum,3,230.35000000000002,76.78333333333335
xambioa,3,429.76,143.25333333333333
xambre,1,1095.48,1095.48
xangri-la,7,1557.03,222.43285714285713
xanxere,28,5084.97,181.60607142857143
xapuri,2,445.89,222.945
xavantina,2,217.70999999999998,108.85499999999999
xaxim,9,2975.4,330.6
xexeu,1,126.16,126.16
xinguara,9,1608.51,178.72333333333333
xique-xique,3,230.56,76.85333333333334
zacarias,2,229.85,114.925
ze doca,5,878.9200000000001,175.78400000000002
zortea,2,137.57,68.785
